danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.58,0.848,5,-4.516,1,0.158,0.178,0,0.273,0.568,87.919,audio_features,00ziDepoTjKU8DJ3lXnh4T,spotify:track:00ziDepoTjKU8DJ3lXnh4T,https://api.spotify.com/v1/tracks/00ziDepoTjKU8DJ3lXnh4T,https://api.spotify.com/v1/audio-analysis/00ziDepoTjKU8DJ3lXnh4T,145447,4,SPECIALIST,Ensi
0.691,0.524,5,-9.718,1,0.16,0.197,4.29e-05,0.488,0.41,164.047,audio_features,011ZwIM48eD8ee2UBpG8nK,spotify:track:011ZwIM48eD8ee2UBpG8nK,https://api.spotify.com/v1/tracks/011ZwIM48eD8ee2UBpG8nK,https://api.spotify.com/v1/audio-analysis/011ZwIM48eD8ee2UBpG8nK,392187,4,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",Childish Gambino;21 Savage;Ink;Kadhja Bonet
0.5,0.743,2,-6.648,1,0.0373,0.307,2.68e-05,0.133,0.332,166.256,audio_features,012iHyRvQQquWQGUTYvDxy,spotify:track:012iHyRvQQquWQGUTYvDxy,https://api.spotify.com/v1/tracks/012iHyRvQQquWQGUTYvDxy,https://api.spotify.com/v1/audio-analysis/012iHyRvQQquWQGUTYvDxy,191827,4,Fall Auf,Cro;badchieff
0.73,0.729,4,-3.434,0,0.0883,0.167,1.39e-06,0.349,0.467,113.013,audio_features,017PF4Q3l4DBUiWoXk4OWT,spotify:track:017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/tracks/017PF4Q3l4DBUiWoXk4OWT,https://api.spotify.com/v1/audio-analysis/017PF4Q3l4DBUiWoXk4OWT,221820,4,Break My Heart,Dua Lipa
0.794,0.489,8,-8.341,0,0.084,0.279,4.27e-06,0.0966,0.542,155.945,audio_features,01AXHOcjq5Ikq1mKyNm9bM,spotify:track:01AXHOcjq5Ikq1mKyNm9bM,https://api.spotify.com/v1/tracks/01AXHOcjq5Ikq1mKyNm9bM,https://api.spotify.com/v1/audio-analysis/01AXHOcjq5Ikq1mKyNm9bM,201548,4,CASINO,Katja Krasavice
0.869,0.781,1,-9.099,0,0.33,0.253,0,0.097,0.846,95.026,audio_features,01HNHDC5cBJLZnjohL4Vsv,spotify:track:01HNHDC5cBJLZnjohL4Vsv,https://api.spotify.com/v1/tracks/01HNHDC5cBJLZnjohL4Vsv,https://api.spotify.com/v1/audio-analysis/01HNHDC5cBJLZnjohL4Vsv,214920,4,Naughty by Nature (feat. Naughty by Nature),Burna Boy;Naughty By Nature
0.73,0.777,1,-6.375,0,0.29,0.0455,0.00106,0.0759,0.578,177.865,audio_features,01I9AEz658sQnQzCL3K3QG,spotify:track:01I9AEz658sQnQzCL3K3QG,https://api.spotify.com/v1/tracks/01I9AEz658sQnQzCL3K3QG,https://api.spotify.com/v1/audio-analysis/01I9AEz658sQnQzCL3K3QG,130307,4,HOES UP G'S DOWN,SHIRIN DAVID
0.975,0.535,1,-7.227,1,0.196,0.0783,0,0.107,0.671,125.066,audio_features,01IQ4aQgOf0Kkq3a273hmO,spotify:track:01IQ4aQgOf0Kkq3a273hmO,https://api.spotify.com/v1/tracks/01IQ4aQgOf0Kkq3a273hmO,https://api.spotify.com/v1/audio-analysis/01IQ4aQgOf0Kkq3a273hmO,182741,4,Funky Friday,Dave;Fredo
0.817,0.513,10,-6.263,0,0.394,0.38,0,0.109,0.177,123.029,audio_features,01JMnRUs2YOK6DDpdQASGY,spotify:track:01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/tracks/01JMnRUs2YOK6DDpdQASGY,https://api.spotify.com/v1/audio-analysis/01JMnRUs2YOK6DDpdQASGY,203438,4,Grace (feat. 42 Dugg),Lil Baby;42 Dugg
0.859,0.472,2,-8.64,1,0.06,0.19,5.67e-05,0.105,0.0527,108.033,audio_features,01NOGJwrnEFDU7U03M6ADA,spotify:track:01NOGJwrnEFDU7U03M6ADA,https://api.spotify.com/v1/tracks/01NOGJwrnEFDU7U03M6ADA,https://api.spotify.com/v1/audio-analysis/01NOGJwrnEFDU7U03M6ADA,202222,4,Legit Check,Nik Tendo;Yzomandias
0.598,0.556,7,-4.299,1,0.142,0.0979,0.000933,0.131,0.552,170.057,audio_features,01SMtfSbJlcxUdJvOofMOx,spotify:track:01SMtfSbJlcxUdJvOofMOx,https://api.spotify.com/v1/tracks/01SMtfSbJlcxUdJvOofMOx,https://api.spotify.com/v1/audio-analysis/01SMtfSbJlcxUdJvOofMOx,221547,4,Jockey,Dalex;Lenny Tavárez;iZaak;Dímelo Flow
0.872,0.608,10,-7.192,0,0.203,0.278,0,0.163,0.713,130.05,audio_features,01Xq0gzAC3mUlkkojtAojE,spotify:track:01Xq0gzAC3mUlkkojtAojE,https://api.spotify.com/v1/tracks/01Xq0gzAC3mUlkkojtAojE,https://api.spotify.com/v1/audio-analysis/01Xq0gzAC3mUlkkojtAojE,156923,4,Clash Assassins,JOYCA;Mastu
0.94,0.787,1,-6.885,1,0.102,0.239,0.0593,0.0625,0.842,135.008,audio_features,01as9sNALk4rpqgqz9a0n3,spotify:track:01as9sNALk4rpqgqz9a0n3,https://api.spotify.com/v1/tracks/01as9sNALk4rpqgqz9a0n3,https://api.spotify.com/v1/audio-analysis/01as9sNALk4rpqgqz9a0n3,199834,4,Wasser,Big Toe;Bonez MC
0.826,0.895,0,-4.828,0,0.49,0.22,0,0.0572,0.623,160.069,audio_features,01mKvmXQLhr3MEoiAEAcP2,spotify:track:01mKvmXQLhr3MEoiAEAcP2,https://api.spotify.com/v1/tracks/01mKvmXQLhr3MEoiAEAcP2,https://api.spotify.com/v1/audio-analysis/01mKvmXQLhr3MEoiAEAcP2,162000,4,Talarica,Rennan da Penha;MC 2jhow
0.712,0.774,6,-3.967,0,0.133,0.346,0,0.176,0.471,159.977,audio_features,01qOl2pM8emx1sxdBQc05g,spotify:track:01qOl2pM8emx1sxdBQc05g,https://api.spotify.com/v1/tracks/01qOl2pM8emx1sxdBQc05g,https://api.spotify.com/v1/audio-analysis/01qOl2pM8emx1sxdBQc05g,199586,4,Beifahrersitz,LEA;MAJAN
0.935,0.371,4,-11.875,0,0.609,0.208,1.37e-06,0.113,0.525,130.09,audio_features,01vXerMeFgboAgQZxUL2m9,spotify:track:01vXerMeFgboAgQZxUL2m9,https://api.spotify.com/v1/tracks/01vXerMeFgboAgQZxUL2m9,https://api.spotify.com/v1/audio-analysis/01vXerMeFgboAgQZxUL2m9,154824,4,Loud (feat. Longus Mongus),Monk;BHZ;Longus Mongus
0.561,0.65,7,-6.43,1,0.0277,0.816,1.61e-06,0.952,0.597,147.899,audio_features,01wavOnjFBNgdMWBFYIAP4,spotify:track:01wavOnjFBNgdMWBFYIAP4,https://api.spotify.com/v1/tracks/01wavOnjFBNgdMWBFYIAP4,https://api.spotify.com/v1/audio-analysis/01wavOnjFBNgdMWBFYIAP4,184107,4,50 Vezes - Ao Vivo,Sorriso Maroto;Dilsinho
0.556,0.156,0,-11.317,1,0.0345,0.903,0,0.121,0.199,119.976,audio_features,01zEdrB0rTrYFP6WvNUTHB,spotify:track:01zEdrB0rTrYFP6WvNUTHB,https://api.spotify.com/v1/tracks/01zEdrB0rTrYFP6WvNUTHB,https://api.spotify.com/v1/audio-analysis/01zEdrB0rTrYFP6WvNUTHB,206133,4,Dancing In The Dark - Live Uit Liefde Voor Muziek,The Starlings
0.723,0.74,11,-7.162,1,0.484,0.565,0,0.0729,0.557,81.012,audio_features,0200p5a07AQi3qH6AtDmls,spotify:track:0200p5a07AQi3qH6AtDmls,https://api.spotify.com/v1/tracks/0200p5a07AQi3qH6AtDmls,https://api.spotify.com/v1/audio-analysis/0200p5a07AQi3qH6AtDmls,147071,4,Canna e Playstation - prod. Strage,Dani Faiv
0.656,0.661,9,-5.888,1,0.0602,0.0686,0,0.125,0.509,140.956,audio_features,020wG4EHTwBy5h2rbpxqvK,spotify:track:020wG4EHTwBy5h2rbpxqvK,https://api.spotify.com/v1/tracks/020wG4EHTwBy5h2rbpxqvK,https://api.spotify.com/v1/audio-analysis/020wG4EHTwBy5h2rbpxqvK,223045,4,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash;tha Supreme;Sfera Ebbasta
0.931,0.667,6,-7.043,0,0.318,0.0144,0,0.15,0.667,142.039,audio_features,021lWIHJrURZrmvYQ1xcM8,spotify:track:021lWIHJrURZrmvYQ1xcM8,https://api.spotify.com/v1/tracks/021lWIHJrURZrmvYQ1xcM8,https://api.spotify.com/v1/audio-analysis/021lWIHJrURZrmvYQ1xcM8,207739,4,All Bad (feat. Lil Uzi Vert),Future;Lil Uzi Vert
0.536,0.535,8,-7.306,0,0.221,0.278,0,0.124,0.347,111.279,audio_features,023uwSNZjqRpulKkwOGYxn,spotify:track:023uwSNZjqRpulKkwOGYxn,https://api.spotify.com/v1/tracks/023uwSNZjqRpulKkwOGYxn,https://api.spotify.com/v1/audio-analysis/023uwSNZjqRpulKkwOGYxn,180000,4,Call 911,Trunks;CJota
0.599,0.642,0,-6.936,1,0.0363,0.164,3.33e-05,0.0992,0.349,115.412,audio_features,0247StOpd3AkeBQzANX4Zf,spotify:track:0247StOpd3AkeBQzANX4Zf,https://api.spotify.com/v1/tracks/0247StOpd3AkeBQzANX4Zf,https://api.spotify.com/v1/audio-analysis/0247StOpd3AkeBQzANX4Zf,222533,4,Do They Know It's Christmas? - 1984 Version,Band Aid
0.635,0.717,2,-6.334,1,0.0263,0.00957,0.000263,0.0491,0.803,160.968,audio_features,027NtsXW0vpDFhzxsJKmTL,spotify:track:027NtsXW0vpDFhzxsJKmTL,https://api.spotify.com/v1/tracks/027NtsXW0vpDFhzxsJKmTL,https://api.spotify.com/v1/audio-analysis/027NtsXW0vpDFhzxsJKmTL,255813,4,Mirenla,Ciro y los Persas
0.918,0.494,10,-9.201,0,0.241,0.0722,0.000153,0.0976,0.534,104.016,audio_features,028ScBVIUAYXeuiFvGki1e,spotify:track:028ScBVIUAYXeuiFvGki1e,https://api.spotify.com/v1/tracks/028ScBVIUAYXeuiFvGki1e,https://api.spotify.com/v1/audio-analysis/028ScBVIUAYXeuiFvGki1e,76272,4,Miami Vibes,Julianno Sosa;Polimá Westcoast
0.626,0.76,0,-4.642,1,0.0624,0.207,0,0.127,0.743,90.016,audio_features,02AhFR25hAP9KZ8u4nzLHK,spotify:track:02AhFR25hAP9KZ8u4nzLHK,https://api.spotify.com/v1/tracks/02AhFR25hAP9KZ8u4nzLHK,https://api.spotify.com/v1/audio-analysis/02AhFR25hAP9KZ8u4nzLHK,203200,4,Mala,El Bloque 8;Tu Vicio
