danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.594,0.841,5,-3.292,0,0.0826,0.183,0,0.171,0.786,84.295,audio_features,0afBIRqOPTLPNHzRMPLEf0,spotify:track:0afBIRqOPTLPNHzRMPLEf0,https://api.spotify.com/v1/tracks/0afBIRqOPTLPNHzRMPLEf0,https://api.spotify.com/v1/audio-analysis/0afBIRqOPTLPNHzRMPLEf0,212253,3,El humo de mi fasito,Damas Gratis
0.841,0.522,1,-7.34,0,0.0801,0.471,0,0.296,0.614,132.996,audio_features,0bRn4yqvMzmrwgYQrDOQJD,spotify:track:0bRn4yqvMzmrwgYQrDOQJD,https://api.spotify.com/v1/tracks/0bRn4yqvMzmrwgYQrDOQJD,https://api.spotify.com/v1/audio-analysis/0bRn4yqvMzmrwgYQrDOQJD,263567,4,Santa - Remix,Oscu;Gsaias;Luck Ra;Lau G
0.782,0.807,0,-4.689,0,0.162,0.441,1.34e-06,0.1,0.806,108.056,audio_features,0blWPYAfbvpRLVHUcmqmmj,spotify:track:0blWPYAfbvpRLVHUcmqmmj,https://api.spotify.com/v1/tracks/0blWPYAfbvpRLVHUcmqmmj,https://api.spotify.com/v1/audio-analysis/0blWPYAfbvpRLVHUcmqmmj,170302,4,FRESCO,WOS
0.731,0.654,1,-5.597,1,0.0731,0.0239,0.000159,0.115,0.637,165.993,audio_features,0cP7k8dNs4SY313Rdbu0XO,spotify:track:0cP7k8dNs4SY313Rdbu0XO,https://api.spotify.com/v1/tracks/0cP7k8dNs4SY313Rdbu0XO,https://api.spotify.com/v1/audio-analysis/0cP7k8dNs4SY313Rdbu0XO,183829,4,Eclipse,Lali
0.77,0.686,2,-5.187,1,0.0455,0.308,0,0.274,0.517,132.008,audio_features,0cXGtTRfQKSHojilCoBAOd,spotify:track:0cXGtTRfQKSHojilCoBAOd,https://api.spotify.com/v1/tracks/0cXGtTRfQKSHojilCoBAOd,https://api.spotify.com/v1/audio-analysis/0cXGtTRfQKSHojilCoBAOd,290120,4,Olvídala,Los Palmeras
0.874,0.645,8,-5.75,1,0.2,0.347,3.06e-06,0.0549,0.69,84.003,audio_features,0cYBYOIh4MBfqKTJLW7l7B,spotify:track:0cYBYOIh4MBfqKTJLW7l7B,https://api.spotify.com/v1/tracks/0cYBYOIh4MBfqKTJLW7l7B,https://api.spotify.com/v1/audio-analysis/0cYBYOIh4MBfqKTJLW7l7B,140131,4,Basura,C.R.O;Duki;NEGRO DUB
0.528,0.541,1,-8.305,1,0.219,0.125,2e-05,0.234,0.549,69.885,audio_features,0gFrjV5KI2KU0qR6nBn4PR,spotify:track:0gFrjV5KI2KU0qR6nBn4PR,https://api.spotify.com/v1/tracks/0gFrjV5KI2KU0qR6nBn4PR,https://api.spotify.com/v1/audio-analysis/0gFrjV5KI2KU0qR6nBn4PR,184706,3,Reloj - Remix,DJ Alan Gomez;Maty Deejay
0.772,0.776,5,-2.636,1,0.051,0.348,0,0.038,0.979,86.0,audio_features,0iAFNktdLlvNNK5epU76X3,spotify:track:0iAFNktdLlvNNK5epU76X3,https://api.spotify.com/v1/tracks/0iAFNktdLlvNNK5epU76X3,https://api.spotify.com/v1/audio-analysis/0iAFNktdLlvNNK5epU76X3,189962,4,Dame Tu Mano,El Dipy
0.766,0.41,7,-6.302,1,0.0545,0.371,0,0.216,0.921,93.875,audio_features,0iMa8G7ODf8szyruUYtnz1,spotify:track:0iMa8G7ODf8szyruUYtnz1,https://api.spotify.com/v1/tracks/0iMa8G7ODf8szyruUYtnz1,https://api.spotify.com/v1/audio-analysis/0iMa8G7ODf8szyruUYtnz1,142478,4,Acércate,TINI
0.647,0.76,1,-7.717,1,0.118,0.0932,0.00157,0.0686,0.167,146.191,audio_features,0jaTkHUL2LcNP4aWqmAXBA,spotify:track:0jaTkHUL2LcNP4aWqmAXBA,https://api.spotify.com/v1/tracks/0jaTkHUL2LcNP4aWqmAXBA,https://api.spotify.com/v1/audio-analysis/0jaTkHUL2LcNP4aWqmAXBA,121451,4,Fornai,Duki;Orodembow
