danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artists
0.822,0.664,8,-7.704,0,0.225,0.366,3.74e-06,0.0949,0.35,125.02,audio_features,0eA43imPmYEq6166XHM3UX,spotify:track:0eA43imPmYEq6166XHM3UX,https://api.spotify.com/v1/tracks/0eA43imPmYEq6166XHM3UX,https://api.spotify.com/v1/audio-analysis/0eA43imPmYEq6166XHM3UX,247680,4,Mais Caro,Wet Bed Gang
0.637,0.366,4,-12.863,0,0.425,0.411,0,0.0991,0.332,131.138,audio_features,0gzwa0yJncSs29DjXajA5i,spotify:track:0gzwa0yJncSs29DjXajA5i,https://api.spotify.com/v1/tracks/0gzwa0yJncSs29DjXajA5i,https://api.spotify.com/v1/audio-analysis/0gzwa0yJncSs29DjXajA5i,191679,4,Tou Bem (feat. Lhast),ProfJam;Lhast
0.557,0.309,1,-9.96,1,0.3,0.782,3.42e-05,0.114,0.318,106.702,audio_features,0hTLoBrTCyctmBg2Ah5zSk,spotify:track:0hTLoBrTCyctmBg2Ah5zSk,https://api.spotify.com/v1/tracks/0hTLoBrTCyctmBg2Ah5zSk,https://api.spotify.com/v1/audio-analysis/0hTLoBrTCyctmBg2Ah5zSk,208969,4,Também Sonhar,Slow J;Sara Tavares
0.733,0.399,4,-9.823,0,0.0701,0.405,0,0.094,0.3,135.013,audio_features,0iQRPWxEkucBicEA3wauYI,spotify:track:0iQRPWxEkucBicEA3wauYI,https://api.spotify.com/v1/tracks/0iQRPWxEkucBicEA3wauYI,https://api.spotify.com/v1/audio-analysis/0iQRPWxEkucBicEA3wauYI,183830,4,Freaky,WiNDOH
0.797,0.678,1,-6.431,0,0.138,0.308,0.000822,0.106,0.332,100.016,audio_features,0kM7y3ykrd0pmixnTnMp23,spotify:track:0kM7y3ykrd0pmixnTnMp23,https://api.spotify.com/v1/tracks/0kM7y3ykrd0pmixnTnMp23,https://api.spotify.com/v1/audio-analysis/0kM7y3ykrd0pmixnTnMp23,220800,4,Good Life,Kappa Jotta
0.439,0.369,1,-9.664,1,0.0439,0.61,6.12e-06,0.147,0.34,140.424,audio_features,0lFriVqCSt5QaH0OXsQNpv,spotify:track:0lFriVqCSt5QaH0OXsQNpv,https://api.spotify.com/v1/tracks/0lFriVqCSt5QaH0OXsQNpv,https://api.spotify.com/v1/audio-analysis/0lFriVqCSt5QaH0OXsQNpv,197507,5,A Terra Gira,Os Quatro e Meia
0.636,0.837,7,-2.95,0,0.124,0.247,0,0.099,0.362,92.99,audio_features,0lLEhRMrGKQeosZCpV2zsj,spotify:track:0lLEhRMrGKQeosZCpV2zsj,https://api.spotify.com/v1/tracks/0lLEhRMrGKQeosZCpV2zsj,https://api.spotify.com/v1/audio-analysis/0lLEhRMrGKQeosZCpV2zsj,210300,4,Peço Perdão (feat. Matias Damasio),Rui Orlando;Matias Damásio
0.541,0.496,7,-10.216,0,0.0276,0.518,0.00142,0.107,0.478,109.034,audio_features,0linPWK3fnWhS1QPoH75TA,spotify:track:0linPWK3fnWhS1QPoH75TA,https://api.spotify.com/v1/tracks/0linPWK3fnWhS1QPoH75TA,https://api.spotify.com/v1/audio-analysis/0linPWK3fnWhS1QPoH75TA,250979,4,Tempestade,Carolina Deslandes
0.791,0.518,1,-13.674,1,0.0496,0.474,0.911,0.102,0.282,105.691,audio_features,0mi9oVaUsMq7kcJRqU1EHr,spotify:track:0mi9oVaUsMq7kcJRqU1EHr,https://api.spotify.com/v1/tracks/0mi9oVaUsMq7kcJRqU1EHr,https://api.spotify.com/v1/audio-analysis/0mi9oVaUsMq7kcJRqU1EHr,171602,4,Bachelor Life,Sammy Wellz
0.735,0.444,6,-9.476,0,0.0973,0.58,0,0.091,0.684,130.09,audio_features,0otUR261FtuuFLfARAiEkk,spotify:track:0otUR261FtuuFLfARAiEkk,https://api.spotify.com/v1/tracks/0otUR261FtuuFLfARAiEkk,https://api.spotify.com/v1/audio-analysis/0otUR261FtuuFLfARAiEkk,147797,4,Party Girl,StaySolidRocky
0.761,0.637,8,-7.041,0,0.0537,0.325,0,0.0812,0.256,109.964,audio_features,0uiacvQPCC2C5OdPOnyIJy,spotify:track:0uiacvQPCC2C5OdPOnyIJy,https://api.spotify.com/v1/tracks/0uiacvQPCC2C5OdPOnyIJy,https://api.spotify.com/v1/audio-analysis/0uiacvQPCC2C5OdPOnyIJy,216000,4,Nemo,Pineapple StormTv;JayA Luuck;Jogzz
0.752,0.638,1,-8.496,1,0.164,0.536,7.03e-06,0.104,0.462,176.047,audio_features,0wlOyxuja1SEoqEj0aZ1BQ,spotify:track:0wlOyxuja1SEoqEj0aZ1BQ,https://api.spotify.com/v1/tracks/0wlOyxuja1SEoqEj0aZ1BQ,https://api.spotify.com/v1/audio-analysis/0wlOyxuja1SEoqEj0aZ1BQ,262734,4,#24,ProfJam;benji price
0.801,0.711,7,-8.328,0,0.0632,0.0504,0.0829,0.0971,0.597,96.996,audio_features,12ZlD9aYWAvT6JtD50rG2q,spotify:track:12ZlD9aYWAvT6JtD50rG2q,https://api.spotify.com/v1/tracks/12ZlD9aYWAvT6JtD50rG2q,https://api.spotify.com/v1/audio-analysis/12ZlD9aYWAvT6JtD50rG2q,174003,4,Dpos D' Quarentena,Nelson Freitas
